#OMP | Time/step [s] | eff | two body | eff | shake | eff | lists | eff
1 15.7526 1.0000 4.3678 1.0000 4.5582 1.0000 2.7989 1.0000
2 10.5268 0.7482 2.1987 0.9933 2.4780 0.9197 1.9363 0.7227
4 8.0228 0.4909 1.1490 0.9503 1.4882 0.7657 1.5058 0.4647
8 7.0694 0.2785 0.6203 0.8802 0.9238 0.6168 1.2970 0.2698
10 6.4861 0.2429 0.4846 0.9013 0.7473 0.6099 1.2523 0.2235
16 5.7607 0.1709 0.3094 0.8823 0.5612 0.5077 1.1801 0.1482
20 5.7240 0.1376 0.2601 0.8396 0.4962 0.4593 1.1693 0.1197
32 5.6340 0.0874 0.2100 0.6500 0.4539 0.3138 1.1542 0.0758
60 5.6609 0.0464 0.1285 0.5666 0.3969 0.1914 1.1318 0.0412
120 5.6910 0.0231 0.1242 0.2930 0.4467 0.0850 1.1940 0.0195
