#OMP | Time/step [s] | eff | metal | eff | two body | eff | lists | eff
1 1.9637 1.0000 0.4041 1.0000 0.8375 1.0000 0.6375 1.0000
2 1.1400 0.8613 0.2413 0.8373 0.4578 0.9147 0.3562 0.8948
4 0.6564 0.7479 0.1269 0.7962 0.2319 0.9030 0.2138 0.7453
8 0.4197 0.5849 0.0754 0.6700 0.1279 0.8187 0.1323 0.6022
10 0.3723 0.5275 0.0672 0.6013 0.1008 0.8305 0.1182 0.5392
16 0.2929 0.4190 0.0515 0.4904 0.0667 0.7851 0.0906 0.4398
20 0.2746 0.3576 0.0531 0.3805 0.0550 0.7609 0.0825 0.3863
32 0.2382 0.2576 0.0466 0.2709 0.0377 0.6947 0.0694 0.2872
60 0.2058 0.1590 0.0386 0.1745 0.0225 0.6211 0.0603 0.1763
120 0.2137 0.0766 0.0468 0.0720 0.0203 0.3436 0.0557 0.0954
180 0.2300 0.0474 0.0540 0.0416 0.0219 0.2126 0.0557 0.0636
240 0.2713 0.0302 0.0771 0.0218 0.0262 0.1332 0.0574 0.0463
